module,section_code,document_name,applicability,normalization_status,check_index,validation_check
"Модуль 1","1.1","Общая документация","conditional_required","ready_for_code","1","Наличие требуемой документации: 1. Документ, подтверждающий оплату экспертных работ"
"Модуль 1","1.1","Общая документация","conditional_required","ready_for_code","2","Условия/применимость из памятки: Сведения, подтверждающие оплату заявителем на расчетный счет государственной экспертной организации суммы для проведения экспертизы"
"Модуль 1","1.2","Заявление на государственную регистрацию","always_required","ready_for_code","1","Заявление на проведение экспертизы лекарственного средства, оформленное по форме согласно Приложения 1 к Правилам проведения экспертизы лекарственных средств."
"Модуль 1","1.2","Заявление на государственную регистрацию","always_required","ready_for_code","2","1.На экспертизу различных лекарственных форм одного и того же лекарственного препарата заявитель представляет заявление и регистрационное досье на каждую лекарственную форму."
"Модуль 1","1.2","Заявление на государственную регистрацию","always_required","ready_for_code","3","2.В случае одновременной подачи на экспертизу лекарственного препарата в одной лекарственной форме, с различной дозировкой, концентрацией, объемом заполнения заявитель представляет одно заявление и регистрационное досье с приложением макетов упаковок и этикеток на каждую дозировку, концентрацию, объем заполнения и количество доз в упаковке, а также нормативного документа по качеству в случае различия в методиках контроля."
"Модуль 1","1.2","Заявление на государственную регистрацию","always_required","ready_for_code","4","В разделе 14 «Полный качественный и количественный состав» просим указывать наименование, адрес производственной площадки и этап производства для каждой производственной площадки, участвующей в процессе производства каждой АФС."
"Модуль 1","1.2","Заявление на государственную регистрацию","always_required","ready_for_code","5","Информация по этапу производства АФС заполняется в скобках после указания фактического адреса площадки в разделе 14 заявления в столбце «Производитель, страна и адрес производственной площадки»."
"Модуль 1","1.2","Заявление на государственную регистрацию","always_required","ready_for_code","6","Для биологических лекарственных препаратов должны быть перечислены все площадки, осуществляющие хранение главного и рабочего банков клеток, и площадки, осуществляющие приготовление рабочего банка клеток."
"Модуль 1","1.2","Заявление на государственную регистрацию","always_required","ready_for_code","7","Информация, указанная в разделе 14 заявления должна соответствовать данным раздела регистрационного досье 3.2.S.2.1."
"Модуль 1","1.2","Заявление на государственную регистрацию","always_required","ready_for_code","8","Производитель."
"Модуль 1","1.2","Заявление на государственную регистрацию","always_required","ready_for_code","9","В разделе 22. «Производитель (и) лекарственного препарата и участок (и) производства» просим указывать актуальные данные должностных лиц."
"Модуль 1","1.2","Заявление на государственную регистрацию","always_required","ready_for_code","10","Информация, указанная в разделе 22 заявления должна соответствовать данным раздела регистрационного досье 3.2.Р.3.1."
"Модуль 1","1.2","Заявление на государственную регистрацию","always_required","ready_for_code","11","Для препаратов крови и вакцин необходимо указать в разделе 23 данные о лаборатории, ответственной за контроль качества/ выпуск серии."
"Модуль 1","1.2","Заявление на государственную регистрацию","always_required","ready_for_code","12","5.При подаче процедуры внесения изменений типа IА, в разделе 24 Изменения, вносимые в регистрационное досье в рамках одного заявления допускается указание нескольких несущественных изменениях типа IА, касающихся одного регистрационного удостоверения."
"Модуль 1","1.2","Заявление на государственную регистрацию","always_required","ready_for_code","13","При подаче процедуры внесения изменений типа IБ допускается в рамках одного заявления уведомление о нескольких изменениях типа IБ, касающихся одного регистрационного удостоверения, или группировка одного или нескольких изменений типа IБ с другими изменениями типа IА, связанными с одним регистрационным удостоверением, при условии, что такая группировка соответствует условиям, перечисленным в приложении 18 к настоящим Правилам"
"Модуль 1","1.2","Заявление на государственную регистрацию","always_required","ready_for_code","14","В случае внесения изменения типа IБ, влекущего за собой другие последовательные изменения типа IА и типа IБ, подается одно заявление, содержащее все последовательные изменения типа I."
"Модуль 1","1.2","Заявление на государственную регистрацию","always_required","ready_for_code","15","В случае внесения значительных изменений типа II, заявление должно содержать одно изменение типа II."
"Модуль 1","1.2","Заявление на государственную регистрацию","always_required","ready_for_code","16","В случае внесения нескольких изменений типа II, отдельное заявление подается относительно каждого изменения, каждое заявление содержит ссылки на другое заявление."
"Модуль 1","1.2","Заявление на государственную регистрацию","always_required","ready_for_code","17","9. в случае если изменение типа II приводит к другим последовательным изменениям типа II, одно заявление включает все последовательные изменения вместе с описанием соответствий между такими последовательными изменениями типа II."
"Модуль 1","1.2","Заявление на государственную регистрацию","always_required","ready_for_code","18","В случае если изменение типа II приводит к другим последовательным изменениям типа I, одно заявление включает все последовательные изменения вместе с описанием соответствий между такими последовательными изменениями типа I и II."
"Модуль 1","1.2","Заявление на государственную регистрацию","always_required","ready_for_code","19","При внесении изменений, требующих новой регистрации лекарственного препарата, заявитель представляет заявление по форме согласно приложению 1 к настоящим Правилам с указанием типа процедуры ""регистрация"" и документы согласно приложениям 2 или 3 к настоящим Правилам."
"Модуль 1","1.2.1","Сертификат на фармацевтический продукт согласно рекомендации Всемирной организации здравоохранения (нотариально засвидетельствованный) (при наличии) или Сертификат (регистрационное удостоверение) о регистрации в стране-производителе (нотариально засвидетельствованный (при наличии)","conditional_required","ready_for_code","1","Наличие требуемой документации: 1. Сертификат на фармацевтический продукт (заверенный в установленном порядке) согласно формату, рекомендованным ВОЗ; И/ИЛИ 2. Документ, подтверждающий регистрацию в стране-производителе и (или) в стране – держателе регистрационного удостоверения на лекарственный препарат (заверенный в установленном порядке); И/ИЛИ 3. Пояснительная записка с обоснованием отсутствия данных о регистрации лекарственного препарата;"
"Модуль 1","1.2.1","Сертификат на фармацевтический продукт согласно рекомендации Всемирной организации здравоохранения (нотариально засвидетельствованный) (при наличии) или Сертификат (регистрационное удостоверение) о регистрации в стране-производителе (нотариально засвидетельствованный (при наличии)","conditional_required","ready_for_code","2","Условия/применимость из памятки: 1. Лекарственная форма, дозировка, качественный и количественный состав лекарственного препарата соответствует информации, изложенной в заявлении на проведение экспертизы лекарственного средства, документах регистрационного досье – проекты ОХЛП, инструкции по медицинскому применению (ЛВ), НД по качеству, 2.3.Р.1. Описание и состав лекарственного препарата, 3.2.Р.1. Описание и состав лекарственного препарата. 2. Наименование и адрес производителя лекарственного препарата, соответствует информации изложенной в заявлении на проведение экспертизы лекарственного средства, разделах регистрационного досье - 3.2.Р.3.1. Производитель (Производители). 3.При отличии торгового наименования заявленного препарата в СРР и заявлением, разделами регдосье 2.3.Р.1. Описание и состав лекарственного препарата, 3.2.Р.1. Описание и состав лекарственного препарата - необходимо письмо-пояснение от ДРУ/производителя готового препарата 4. Необходимо указывать полный состав лекарственного препарата в СРР"
"Модуль 1","1.2.1","Сертификат на фармацевтический продукт согласно рекомендации Всемирной организации здравоохранения (нотариально засвидетельствованный) (при наличии) или Сертификат (регистрационное удостоверение) о регистрации в стране-производителе (нотариально засвидетельствованный (при наличии)","conditional_required","ready_for_code","3","Проверить заверение: нотариальное удостоверение/апостиль/легализация, если применимо."
"Модуль 1","1.2.1","Сертификат на фармацевтический продукт согласно рекомендации Всемирной организации здравоохранения (нотариально засвидетельствованный) (при наличии) или Сертификат (регистрационное удостоверение) о регистрации в стране-производителе (нотариально засвидетельствованный (при наличии)","conditional_required","ready_for_code","4","Сверить сведения с заявкой и связанными разделами досье."
"Модуль 1","1.2.1","Сертификат на фармацевтический продукт согласно рекомендации Всемирной организации здравоохранения (нотариально засвидетельствованный) (при наличии) или Сертификат (регистрационное удостоверение) о регистрации в стране-производителе (нотариально засвидетельствованный (при наличии)","conditional_required","ready_for_code","5","Сверить наименование, адрес и роль каждой производственной площадки с заявкой и 3.2.P/3.2.S."
"Модуль 1","1.2.1","Сертификат на фармацевтический продукт согласно рекомендации Всемирной организации здравоохранения (нотариально засвидетельствованный) (при наличии) или Сертификат (регистрационное удостоверение) о регистрации в стране-производителе (нотариально засвидетельствованный (при наличии)","conditional_required","ready_for_code","6","Сверить качественный/количественный состав с формой заявки, 3.2.P.1, 3.2.P.3.2 и макетами/ОХЛП."
