"Модуль","Код","Документ","Статус покрытия","checkId","Проверки","Ожидаемые поля","Требований Gemma/manual"
"Модуль 1","1.1","1. Документ, подтверждающий оплату экспертных работ","base parser/OCR + Gemma/manual","file_format_check; ocr_quality_check; expected_extracted_fields_check; npa_imported_requirement_check","Формат файла; Статус OCR/извлечения; Обязательные извлечённые поля документа; Требования НПА к документу","textContent; textLength","2"
"Модуль 1","1.1.sub1","2. Доверенность от ДРУ заявителю для осуществления действий по подаче заявлений, ведения переписки и подписания договоров, заявления, актов, счетов и других документов, в том числе финансовые, необходимые в процессе экспертизы ЛС при регистрации, перерегистрации и внесении изменений в регистрационное досье лекарственных средств и выполнять любые иные действия необходимые в процессе экспертизы ЛС/МИ при регистрации, перерегистрации и внесении изменений в регистрационное досье лекарственных средств","base parser/OCR + Gemma/manual","file_format_check; ocr_quality_check; expected_extracted_fields_check; npa_imported_requirement_check","Формат файла; Статус OCR/извлечения; Обязательные извлечённые поля документа; Требования НПА к документу","textContent; textLength","1"
"Модуль 1","1.1.sub2","Сопроводительное письмо (если применимо)","base parser/OCR + Gemma/manual","file_format_check; ocr_quality_check; expected_extracted_fields_check; npa_imported_requirement_check","Формат файла; Статус OCR/извлечения; Обязательные извлечённые поля документа; Требования НПА к документу","textContent; textLength","2"
"Модуль 1","1.1.sub3","Разрешение уполномоченного органа на ускоренную экспертизы (если применимо)","base parser/OCR + Gemma/manual","file_format_check; ocr_quality_check; expected_extracted_fields_check; npa_imported_requirement_check","Формат файла; Статус OCR/извлечения; Обязательные извлечённые поля документа; Требования НПА к документу","textContent; textLength","1"
"Модуль 1","1.2","Заявление на проведение экспертизы лекарственного средства, оформленное по форме согласно Приложения 1 к Правилам проведения экспертизы лекарственных средств.","script/hybrid + Gemma","file_format_check; ocr_quality_check; expected_extracted_fields_check; npa_imported_requirement_check; required_sections_check; docx_format_check; core_field_consistency_check; shelf_life_consistency_check; storage_consistency_check; translation_length_check","Формат файла; Статус OCR/извлечения; Обязательные извлечённые поля документа; Требования НПА к документу; Обязательные разделы ОХЛП/инструкции; Оформление DOCX; Согласованность ключевых полей; Срок годности; Условия хранения; Полнота перевода RU/KZ","textContent; textLength; tradeName; inn; dosage; dosageForm; shelfLife; storage; fonts; sizes; colors","8"
"Модуль 1","1.2.1","1. Сертификат на фармацевтический продукт (заверенный в установленном порядке) согласно формату, рекомендованным ВОЗ; И/ИЛИ 2. Документ, подтверждающий регистрацию в стране-производителе и (или) в стране – держателе регистрационного удостоверения на лекарственный препарат (заверенный в установленном порядке); И/ИЛИ 3. Пояснительная записка с обоснованием отсутствия данных о регистрации лекарственного препарата;","script/hybrid + Gemma","file_format_check; ocr_quality_check; expected_extracted_fields_check; npa_imported_requirement_check; cpp_certificate_check; document_expiry_check; core_field_consistency_check; required_sections_check; docx_format_check; shelf_life_consistency_check; storage_consistency_check; translation_length_check","Формат файла; Статус OCR/извлечения; Обязательные извлечённые поля документа; Требования НПА к документу; CPP / регистрация в стране-производителе; Срок действия документа; Согласованность ключевых полей; Обязательные разделы ОХЛП/инструкции; Оформление DOCX; Срок годности; Условия хранения; Полнота перевода RU/KZ","textContent; textLength; validUntil; issueDate; country; tradeName; dosage; dosageForm; manufacturer; inn; shelfLife; storage; fonts; sizes; colors","8"
"Модуль 1","1.2.1.sub1","Сертификат GMP (с указанием даты и результатов последней инспекции) (нотариально засвидетельствованный) или апостилированнный","script/hybrid + Gemma","file_format_check; ocr_quality_check; expected_extracted_fields_check; npa_imported_requirement_check; gmp_certificate_check; document_expiry_check; core_field_consistency_check; required_sections_check; docx_format_check; shelf_life_consistency_check; storage_consistency_check; translation_length_check","Формат файла; Статус OCR/извлечения; Обязательные извлечённые поля документа; Требования НПА к документу; GMP и производственная площадка; Срок действия документа; Согласованность ключевых полей; Обязательные разделы ОХЛП/инструкции; Оформление DOCX; Срок годности; Условия хранения; Полнота перевода RU/KZ","textContent; textLength; validUntil; issueDate; manufacturer; address; scope; tradeName; inn; dosage; dosageForm; shelfLife; storage; fonts; sizes; colors","13"
"Модуль 1","1.2.2","Копии действующих патентов* в отношении регистрируемого лекарственного препарата И/ИЛИ Копию лицензионного соглашения, которое дает право на производство и продажу зарегистрированного лекарственного препарата ИЛИ Письменное подтверждение ДРУ/производителя, что регистрация лекарственного препарата не нарушает прав третьих лиц на интеллектуальную собственность#","script/hybrid + Gemma","file_format_check; ocr_quality_check; expected_extracted_fields_check; npa_imported_requirement_check; document_expiry_check; core_field_consistency_check","Формат файла; Статус OCR/извлечения; Обязательные извлечённые поля документа; Требования НПА к документу; Срок действия документа; Согласованность ключевых полей","textContent; textLength; validUntil; issueDate","5"
"Модуль 1","1.2.3.","Перечень стран, в которых лекарственный препарат подан на регистрацию, зарегистрирован, получил отказ в регистрации или его обращение на рынке было приостановлено с указанием номера, даты выдачи и срока действия регистрационного удостоверения Или Копии сертификата о регистрации/ регистрационного удостоверения","script/hybrid + Gemma","file_format_check; ocr_quality_check; expected_extracted_fields_check; npa_imported_requirement_check; document_expiry_check; core_field_consistency_check","Формат файла; Статус OCR/извлечения; Обязательные извлечённые поля документа; Требования НПА к документу; Срок действия документа; Согласованность ключевых полей","textContent; textLength; validUntil; issueDate","5"
"Модуль 1","1.2.4","Свидетельство на товарный знак с указанием даты выдачи и сроком действия, признаваемый на территории Республики Казахстан и имеющий статус действующего","script/hybrid + Gemma","file_format_check; ocr_quality_check; expected_extracted_fields_check; npa_imported_requirement_check; document_expiry_check; core_field_consistency_check","Формат файла; Статус OCR/извлечения; Обязательные извлечённые поля документа; Требования НПА к документу; Срок действия документа; Согласованность ключевых полей","textContent; textLength; validUntil; issueDate","5"
"Модуль 1","1.2.5","Декларация о том, что в проектах общей характеристике лекарственного препарата и инструкции по медицинскому применению лекарственного средства (листок-вкладыш) (далее – ОХЛП и Инструкция ЛС) воспроизведенного, гибридного или биоаналогичного (биоподобного) лекарственного препарата отсутствуют отличия от действующих ОХЛП и Инструкции ЛС оригинального (референтного) лекарственного препарата, за исключением отличий информации о производителе, сроке годности, составе вспомогательных веществ незначимые различия в биодоступности или фармакокинетике.","script/hybrid + Gemma","file_format_check; ocr_quality_check; expected_extracted_fields_check; npa_imported_requirement_check; required_sections_check; docx_format_check; core_field_consistency_check; shelf_life_consistency_check; storage_consistency_check; translation_length_check; document_expiry_check","Формат файла; Статус OCR/извлечения; Обязательные извлечённые поля документа; Требования НПА к документу; Обязательные разделы ОХЛП/инструкции; Оформление DOCX; Согласованность ключевых полей; Срок годности; Условия хранения; Полнота перевода RU/KZ; Срок действия документа","textContent; textLength; validUntil; issueDate; tradeName; inn; dosage; dosageForm; shelfLife; storage; fonts; sizes; colors","11"
"Модуль 1","1.2.6","Резюме (до 5 страниц) обоснований и фактов, показывающих, что лекарственный препарат является воспроизведенным, гибридным или биоаналогичным (биоподобным) лекарственным препаратом. Указанное резюме должно содержать информацию о препарате, его качественном составе и количественном содержании в нем активного вещества, его лекарственной форме и профиле безопасности и (или) эффективности его активного вещества по сравнению с активным веществом оригинального препарата, а также при необходимости сведения о биологической доступности и биоэквивалентности данного препарата.","script/hybrid + Gemma","file_format_check; ocr_quality_check; expected_extracted_fields_check; npa_imported_requirement_check; required_sections_check; docx_format_check; core_field_consistency_check; shelf_life_consistency_check; storage_consistency_check; translation_length_check; bioequivalence_report_check","Формат файла; Статус OCR/извлечения; Обязательные извлечённые поля документа; Требования НПА к документу; Обязательные разделы ОХЛП/инструкции; Оформление DOCX; Согласованность ключевых полей; Срок годности; Условия хранения; Полнота перевода RU/KZ; Отчет биоэквивалентности","textContent; textLength; tradeName; inn; dosage; dosageForm; shelfLife; storage; fonts; sizes; colors; referenceProduct; conclusion","8"
"Модуль 1","1.3.1","Заверенная держателем регистрационного удостоверения копия общей характеристики лекарственного препарата с датой последнего пересмотра","script/hybrid + Gemma","file_format_check; ocr_quality_check; expected_extracted_fields_check; npa_imported_requirement_check; required_sections_check; docx_format_check; core_field_consistency_check; shelf_life_consistency_check; storage_consistency_check; translation_length_check","Формат файла; Статус OCR/извлечения; Обязательные извлечённые поля документа; Требования НПА к документу; Обязательные разделы ОХЛП/инструкции; Оформление DOCX; Согласованность ключевых полей; Срок годности; Условия хранения; Полнота перевода RU/KZ","textContent; textLength; tradeName; inn; dosage; dosageForm; shelfLife; storage; fonts; sizes; colors","1"
"Модуль 1","1.3.2","Утвержденный Уполномоченным органом страны производителя и (или) страны-держателя регистрационного удостоверения.","script/hybrid + Gemma","file_format_check; ocr_quality_check; expected_extracted_fields_check; npa_imported_requirement_check; required_sections_check; docx_format_check; core_field_consistency_check; shelf_life_consistency_check; storage_consistency_check; translation_length_check; black_triangle_check","Формат файла; Статус OCR/извлечения; Обязательные извлечённые поля документа; Требования НПА к документу; Обязательные разделы ОХЛП/инструкции; Оформление DOCX; Согласованность ключевых полей; Срок годности; Условия хранения; Полнота перевода RU/KZ; Дополнительный мониторинг","textContent; textLength; tradeName; inn; dosage; dosageForm; shelfLife; storage; fonts; sizes; colors; hasBlackTriangle","6"
"Модуль 1","1.3.3","Проект общей характеристики лекарственного препарата и проект инструкции по медицинскому применению лекарственного препарата на русском и казахском языках","script/hybrid + Gemma","file_format_check; ocr_quality_check; expected_extracted_fields_check; npa_imported_requirement_check; required_sections_check; docx_format_check; core_field_consistency_check; shelf_life_consistency_check; storage_consistency_check; translation_length_check; black_triangle_check","Формат файла; Статус OCR/извлечения; Обязательные извлечённые поля документа; Требования НПА к документу; Обязательные разделы ОХЛП/инструкции; Оформление DOCX; Согласованность ключевых полей; Срок годности; Условия хранения; Полнота перевода RU/KZ; Дополнительный мониторинг","textContent; textLength; tradeName; inn; dosage; dosageForm; shelfLife; storage; fonts; sizes; colors; hasBlackTriangle","9"
"Модуль 1","1.3.4","Проект маркировки первичной, промежуточной (при наличии) и вторичной упаковок в формате “doc” и “pdf”","script/hybrid + Gemma","file_format_check; ocr_quality_check; expected_extracted_fields_check; npa_imported_requirement_check; core_field_consistency_check; storage_consistency_check; docx_format_check; translation_length_check","Формат файла; Статус OCR/извлечения; Обязательные извлечённые поля документа; Требования НПА к документу; Согласованность ключевых полей; Условия хранения; Оформление DOCX; Полнота перевода RU/KZ","textContent; textLength","5"
